,GeneName,Slope,P-value,FDR
1205,HNRNPFP1,0.02326153433990745,0.3166677998063137,0.7070164021931594
1206,RP11-319C21.1,-0.006165830522346786,0.2634860238478476,0.6572342599790595
1207,GUCA2B,-0.11698745762505691,0.06837969623318882,0.3473189781133461
1208,GUCA2A,0.07769982965134144,0.3156732635575774,0.7069237850219133
1209,FOXJ3,-0.02769162375390103,0.5277005581104699,0.8331462266343632
1210,RP11-223A3.1,0.1398365797290854,0.08137458062862747,0.38040769872221536
1211,RIMKLA,-0.22334132540014884,0.016368097959628906,0.1540898782224627
1212,RP11-157D18.2,-0.0023562742290711737,0.8866417860433451,1.0
1213,ZMYND12,0.1020695640150969,0.23295479168357863,0.6226360640527093
1214,PPCS,0.11229985631810398,0.04238849957741576,0.26777053563183073
1215,CCDC30,0.10122285037240154,0.14695531887690164,0.5178740042990352
1216,RP11-163G10.2,0.008529873036795888,0.7142655627444152,0.9352902449291961
1217,TMSB4XP1,-0.06377506755403868,0.39560186860304736,0.7681605577340017
1218,RNU6-536P,0.0009182917284854793,0.8967870913096238,1.0
1219,RP11-163G10.4,0.026686128459412293,0.43231303338715565,0.7972177110752466
1220,PPIH,-0.14354757509125385,0.00668702866411165,0.08978314531017785
1221,RP5-994D16.3,-0.0933994520893945,0.28121682930350006,0.67669542669091
1222,YBX1,-0.29483169851623103,6.20239008649167e-06,0.0013708537635698514
1223,CLDN19,-0.038069553102074064,0.6871091384435097,0.9220003462272167
1224,P3H1,-0.12486142107739424,1.8981972591040945e-05,0.002942986307311276
1225,C1orf50,-0.05106834731088652,0.1195249548239448,0.46468496893240235
1226,RP5-994D16.9,0.01202011081224358,0.8738049661784094,1.0
1227,TMEM269,0.10776915094391618,0.19899105851801532,0.5796243659489645
1228,SVBP,0.010468796913485635,0.8505654088669541,0.9955632769637177
1229,ERMAP,0.12473382462396548,0.04046633911438042,0.26054232632766317
1230,RP11-342M1.3,0.03969366410080329,0.6712115767160205,0.9132416461220461
1231,ZNF691,0.05636774031832817,0.33196604171818733,0.7169920141430323
1232,RP11-342M1.7,-0.004396021800237158,0.9293155591776643,1.0
1233,RP11-342M1.6,0.0072312011977402404,0.884447732303608,1.0
1234,ATP6V1E1P1,-0.0018380185257334059,0.9802702047745078,1.0
1235,SLC2A1,0.09989497458505281,0.20860461980589443,0.5938247204494538
1236,RP5-848E13.5,0.25447617713578985,0.06787383858930725,0.34572770844343487
1237,SLC2A1-AS1,-0.13103360473850933,0.20016729747221798,0.5817374432723114
1238,RP5-848E13.4,-0.059844908212717644,0.4474104464746004,0.800266506990466
1239,RNU6-880P,-0.0056768808115734565,0.735358845720693,0.9460951665154618
1240,RP3-393B19.1,0.005066181707088361,0.42651145147088887,0.793041121167185
1241,FAM183A,0.0215145611268472,0.7377322172807168,0.9471511980247401
1242,EBNA1BP2,0.08251381767700224,0.1052657138962698,0.4359479481888303
1243,CFAP57,0.017890597442322933,0.8513378733580405,0.995964473048796
1244,RNA5SP46,0.0037277385109432655,0.16033146962361605,0.5212801851999581
1245,TMEM125,-0.04283347409874074,0.6922680987338767,0.9252045482121503
1246,C1orf210,-0.07050643610907406,0.41965715153225636,0.7872825847576955
1247,TIE1,-0.22275640743599456,0.06162782594737767,0.3272362732549052
1248,MPL,0.24153397455120862,0.017673464445183033,0.160965927759665
1249,RP1-92O14.3,0.0510788051704994,0.5633084329561302,0.8547394456228681
1250,CDC20,-0.15704603121993416,0.2660735254041398,0.6599180369365786
